referencia,organismo,estado,tipo_subasta,fecha_inicio,fecha_conclusion,lotes,valor_subasta_eur,tasacion_eur,puja_minima_eur,tramo_pujas_eur,deposito_eur,descuento_pct,duracion_dias
SUB-AT-2025-25R3586001073,EQUIPO REGIONAL DE SUBASTAS - LAS PALMAS (AEAT),Finalizada y depósitos con reserva devueltos,AGENCIA TRIBUTARIA,2025-10-21,2025-11-10,1,19545.98,32576.64,1954.6,500.0,977.29,40.0,20.0
SUB-AT-2025-25R3386001048,U.R. SUBASTAS ASTURIAS - OVIEDO (AEAT),Finalizada y depósitos con reserva devueltos,AGENCIA TRIBUTARIA,2025-10-21,2025-11-10,1,5270.65,6588.32,527.06,200.0,263.53,20.0,20.0
SUB-AT-2025-25R3386001055,U.R. SUBASTAS ASTURIAS - OVIEDO (AEAT),Finalizada y depósitos con reserva devueltos,AGENCIA TRIBUTARIA,2025-10-21,2025-11-10,1,5709.71,7137.14,570.97,200.0,285.48,20.0,20.0
SUB-AT-2025-25R3386001050,U.R. SUBASTAS ASTURIAS - OVIEDO (AEAT),Finalizada y depósitos con reserva devueltos,AGENCIA TRIBUTARIA,2025-10-21,2025-11-10,1,5270.65,6588.32,527.06,200.0,263.53,20.0,20.0
SUB-AT-2025-25R3386001052,U.R. SUBASTAS ASTURIAS - OVIEDO (AEAT),Finalizada y depósitos con reserva devueltos,AGENCIA TRIBUTARIA,2025-10-21,2025-11-10,1,5709.71,7137.14,570.97,200.0,285.48,20.0,20.0
SUB-AT-2025-25R3386001058,U.R. SUBASTAS ASTURIAS - OVIEDO (AEAT),Finalizada y depósitos con reserva devueltos,AGENCIA TRIBUTARIA,2025-10-21,2025-11-10,1,5270.65,6588.32,527.06,200.0,263.53,20.0,20.0
SUB-AT-2025-25R3386001060,U.R. SUBASTAS ASTURIAS - OVIEDO (AEAT),Finalizada y depósitos con reserva devueltos,AGENCIA TRIBUTARIA,2025-10-21,2025-11-10,1,4392.11,5490.14,439.21,200.0,219.6,20.0,20.0
SUB-AT-2025-25R3386001042,U.R. SUBASTAS ASTURIAS - OVIEDO (AEAT),Finalizada y depósitos con reserva devueltos,AGENCIA TRIBUTARIA,2025-10-21,2025-11-10,1,5270.65,6588.32,527.06,200.0,263.53,20.0,20.0
SUB-AT-2025-25R3386001068,U.R. SUBASTAS ASTURIAS - OVIEDO (AEAT),Finalizada y depósitos con reserva devueltos,AGENCIA TRIBUTARIA,2025-10-21,2025-11-10,1,5270.65,6588.32,527.06,200.0,263.53,20.0,20.0
SUB-AT-2025-25R3386001065,U.R. SUBASTAS ASTURIAS - OVIEDO (AEAT),Finalizada y depósitos con reserva devueltos,AGENCIA TRIBUTARIA,2025-10-21,2025-11-10,1,5709.71,7137.14,570.97,200.0,285.48,20.0,20.0
SUB-AT-2025-25R3386001049,U.R. SUBASTAS ASTURIAS - OVIEDO (AEAT),Finalizada y depósitos con reserva devueltos,AGENCIA TRIBUTARIA,2025-10-21,2025-11-10,1,5270.65,6588.32,527.06,200.0,263.53,20.0,20.0
SUB-AT-2025-25R3386001059,U.R. SUBASTAS ASTURIAS - OVIEDO (AEAT),Finalizada y depósitos con reserva devueltos,AGENCIA TRIBUTARIA,2025-10-21,2025-11-10,1,4831.37,6039.22,483.14,200.0,241.56,20.0,20.0
SUB-AT-2025-25R3386001040,U.R. SUBASTAS ASTURIAS - OVIEDO (AEAT),Finalizada y depósitos con reserva devueltos,AGENCIA TRIBUTARIA,2025-10-21,2025-11-10,1,5270.65,6588.32,527.06,200.0,263.53,20.0,20.0
SUB-AT-2025-25R3386001041,U.R. SUBASTAS ASTURIAS - OVIEDO (AEAT),Finalizada y depósitos con reserva devueltos,AGENCIA TRIBUTARIA,2025-10-21,2025-11-10,1,5270.65,6588.32,527.06,200.0,263.53,20.0,20.0
SUB-AT-2025-25R3386001062,U.R. SUBASTAS ASTURIAS - OVIEDO (AEAT),Finalizada y depósitos con reserva devueltos,AGENCIA TRIBUTARIA,2025-10-21,2025-11-10,1,5709.71,7137.14,570.97,200.0,285.48,20.0,20.0
SUB-AT-2025-25R3386001057,U.R. SUBASTAS ASTURIAS - OVIEDO (AEAT),Finalizada y depósitos con reserva devueltos,AGENCIA TRIBUTARIA,2025-10-21,2025-11-10,1,5709.71,7137.14,570.97,200.0,285.48,20.0,20.0
SUB-AT-2025-25R3386001069,U.R. SUBASTAS ASTURIAS - OVIEDO (AEAT),Finalizada y depósitos con reserva devueltos,AGENCIA TRIBUTARIA,2025-10-21,2025-11-10,1,5709.71,7137.14,570.97,200.0,285.48,20.0,20.0
SUB-AT-2025-25R3386001043,U.R. SUBASTAS ASTURIAS - OVIEDO (AEAT),Finalizada y depósitos con reserva devueltos,AGENCIA TRIBUTARIA,2025-10-21,2025-11-10,1,5270.65,6588.32,527.06,200.0,263.53,20.0,20.0
SUB-AT-2025-25R3386001038,U.R. SUBASTAS ASTURIAS - OVIEDO (AEAT),Finalizada y depósitos con reserva devueltos,AGENCIA TRIBUTARIA,2025-10-21,2025-11-10,1,5270.65,6588.32,527.06,200.0,263.53,20.0,20.0
SUB-AT-2025-25R4186001430,U.R. SUBASTAS ANDALUCIA 41 - SEVILLA (AEAT),Finalizada y depósitos con reserva devueltos,AGENCIA TRIBUTARIA,2025-10-21,2025-11-10,1,4807.2,6009.0,480.72,200.0,240.36,20.0,20.0
SUB-AT-2025-25R3386001031,U.R. SUBASTAS ASTURIAS - OVIEDO (AEAT),Finalizada y depósitos con reserva devueltos,AGENCIA TRIBUTARIA,2025-10-21,2025-11-10,1,4831.37,6039.22,483.14,200.0,241.56,20.0,20.0
SUB-AT-2025-25R3386001061,U.R. SUBASTAS ASTURIAS - OVIEDO (AEAT),Finalizada y depósitos con reserva devueltos,AGENCIA TRIBUTARIA,2025-10-21,2025-11-11,1,5270.65,6588.32,527.06,200.0,263.53,20.0,21.0
SUB-AT-2025-25R3386001037,U.R. SUBASTAS ASTURIAS - OVIEDO (AEAT),Finalizada y depósitos con reserva devueltos,AGENCIA TRIBUTARIA,2025-10-21,2025-11-11,1,5270.65,6588.32,527.06,200.0,263.53,20.0,21.0
SUB-AT-2025-25R3386001064,U.R. SUBASTAS ASTURIAS - OVIEDO (AEAT),Finalizada y depósitos con reserva devueltos,AGENCIA TRIBUTARIA,2025-10-21,2025-11-11,1,5709.71,7137.14,570.97,200.0,285.48,20.0,21.0
SUB-AT-2025-25R3386001036,U.R. SUBASTAS ASTURIAS - OVIEDO (AEAT),Finalizada y depósitos con reserva devueltos,AGENCIA TRIBUTARIA,2025-10-21,2025-11-11,1,6148.99,7686.24,614.9,500.0,307.44,20.0,21.0
SUB-AT-2025-25R3386001035,U.R. SUBASTAS ASTURIAS - OVIEDO (AEAT),Finalizada y depósitos con reserva devueltos,AGENCIA TRIBUTARIA,2025-10-21,2025-11-11,1,5270.65,6588.32,527.06,200.0,263.53,20.0,21.0
SUB-AT-2025-25R4186001429,U.R. SUBASTAS ANDALUCIA 41 - SEVILLA (AEAT),Finalizada y depósitos con reserva devueltos,AGENCIA TRIBUTARIA,2025-10-21,2025-11-11,1,4807.2,6009.0,480.72,200.0,240.36,20.0,21.0
SUB-AT-2025-25R3386001033,U.R. SUBASTAS ASTURIAS - OVIEDO (AEAT),Finalizada y depósitos con reserva devueltos,AGENCIA TRIBUTARIA,2025-10-21,2025-11-11,1,5270.65,6588.32,527.06,200.0,263.53,20.0,21.0
SUB-AT-2025-25R3386001034,U.R. SUBASTAS ASTURIAS - OVIEDO (AEAT),Finalizada y depósitos con reserva devueltos,AGENCIA TRIBUTARIA,2025-10-21,2025-11-11,1,5270.65,6588.32,527.06,200.0,263.53,20.0,21.0
SUB-AT-2025-25R3386001039,U.R. SUBASTAS ASTURIAS - OVIEDO (AEAT),Finalizada y depósitos con reserva devueltos,AGENCIA TRIBUTARIA,2025-10-21,2025-11-11,1,5270.65,6588.32,527.06,200.0,263.53,20.0,21.0
SUB-AT-2025-25R3386001044,U.R. SUBASTAS ASTURIAS - OVIEDO (AEAT),Finalizada y depósitos con reserva devueltos,AGENCIA TRIBUTARIA,2025-10-21,2025-11-11,1,4831.37,6039.22,483.14,200.0,241.56,20.0,21.0
SUB-AT-2025-25R3386001032,U.R. SUBASTAS ASTURIAS - OVIEDO (AEAT),Finalizada y depósitos con reserva devueltos,AGENCIA TRIBUTARIA,2025-10-21,2025-11-11,1,4831.37,6039.22,483.14,200.0,241.56,20.0,21.0
SUB-AT-2025-25R3386001047,U.R. SUBASTAS ASTURIAS - OVIEDO (AEAT),Finalizada y depósitos con reserva devueltos,AGENCIA TRIBUTARIA,2025-10-21,2025-11-11,1,5270.65,6588.32,527.06,200.0,263.53,20.0,21.0
SUB-AT-2025-25R4186001434,U.R. SUBASTAS ANDALUCIA 41 - SEVILLA (AEAT),Finalizada y depósitos con reserva devueltos,AGENCIA TRIBUTARIA,2025-10-21,2025-11-11,1,4807.2,6009.0,480.72,200.0,240.36,20.0,21.0
SUB-RC-2025-07003001622,Agencia Tributaria de las Islas Baleares - PALMA (Agencia Tributaria Islas Baleares),Cancelada,RECAUDACIÓN TRIBUTARIA,,,1,114366.98,138351.21,,2287.34,5718.35,17.34,
SUB-AT-2025-25R2886001148,U.R. SUBASTAS MADRID - MADRID (AEAT),Finalizada y depósitos con reserva devueltos,AGENCIA TRIBUTARIA,2025-09-23,2025-11-12,1,215398.67,234795.33,21539.87,2000.0,10769.93,8.26,50.0
SUB-AT-2025-24R0886001714,U.R. SUBASTAS CATALUÑA - BARCELONA (AEAT),Finalizada y depósitos con reserva devueltos,AGENCIA TRIBUTARIA,2025-03-11,2025-11-14,1,45215.18,56518.98,4521.52,1000.0,2260.75,20.0,248.0
SUB-AT-2025-25R0686001048,E.R. SUBASTAS.SEDE BADAJOZ - BADAJOZ (AEAT),Cancelada,AGENCIA TRIBUTARIA,,,1,122824.82,212255.8,,2000.0,6141.24,42.13,
SUB-AT-2025-25R0786001049,U.R. SUBASTAS BALEARES - PALMA (AEAT),Finalizada y depósitos con reserva devueltos,AGENCIA TRIBUTARIA,2025-10-28,2025-11-17,1,25640.56,54954.0,,500.0,1282.02,53.34,20.0
SUB-AT-2025-25R0886001348,U.R. SUBASTAS CATALUÑA - BARCELONA (AEAT),Finalizada y depósitos con reserva devueltos,AGENCIA TRIBUTARIA,2025-10-28,2025-11-17,1,659948.92,676173.0,65994.89,5000.0,32997.44,2.4,20.0
SUB-AT-2025-25R0886001405,U.R. SUBASTAS CATALUÑA - BARCELONA (AEAT),Finalizada y depósitos con reserva devueltos,AGENCIA TRIBUTARIA,2025-10-28,2025-11-17,1,7718.14,9647.68,771.81,500.0,385.9,20.0,20.0
SUB-AT-2025-25R0886001406,U.R. SUBASTAS CATALUÑA - BARCELONA (AEAT),Finalizada y depósitos con reserva devueltos,AGENCIA TRIBUTARIA,2025-10-28,2025-11-17,1,6499.53,8124.42,649.95,500.0,324.97,20.0,20.0
SUB-AT-2025-25R0886001407,U.R. SUBASTAS CATALUÑA - BARCELONA (AEAT),Finalizada y depósitos con reserva devueltos,AGENCIA TRIBUTARIA,2025-10-28,2025-11-17,1,10968.0,13710.01,1096.8,500.0,548.4,20.0,20.0
SUB-AT-2025-25R0886001532,U.R. SUBASTAS CATALUÑA - BARCELONA (AEAT),Cancelada,AGENCIA TRIBUTARIA,,,1,109895.32,268800.0,,2000.0,5494.76,59.12,
SUB-AT-2025-25R4186001583,U.R. SUBASTAS ANDALUCIA 41 - SEVILLA (AEAT),Finalizada y depósitos con reserva devueltos,AGENCIA TRIBUTARIA,2025-10-28,2025-11-17,1,598.95,748.69,59.9,50.0,29.94,20.0,20.0
SUB-AT-2025-25R4186001590,U.R. SUBASTAS ANDALUCIA 41 - SEVILLA (AEAT),Cancelada,AGENCIA TRIBUTARIA,,,1,21003.53,26254.42,2100.35,500.0,1050.17,20.0,
SUB-AT-2025-25R4186001654,U.R. SUBASTAS ANDALUCIA 41 - SEVILLA (AEAT),Finalizada y depósitos con reserva devueltos,AGENCIA TRIBUTARIA,2025-10-28,2025-11-17,1,44988.2,56235.25,4498.82,1000.0,2249.41,20.0,20.0
SUB-AT-2025-25R4786001133,U.R. SUBASTAS CASTILLA Y LEON - VALLADOLID (AEAT),Finalizada y depósitos con reserva devueltos,AGENCIA TRIBUTARIA,2025-10-28,2025-11-17,1,12980.07,23857.0,,500.0,649.0,45.59,20.0
SUB-AT-2025-25R5086001020,U.R. SUBASTAS ARAGON - ZARAGOZA (AEAT),Finalizada y depósitos con reserva devueltos,AGENCIA TRIBUTARIA,2025-10-28,2025-11-17,1,62533.49,116606.08,,2000.0,3126.67,46.37,20.0
SUB-AT-2025-25R4186001558,U.R. SUBASTAS ANDALUCIA 41 - SEVILLA (AEAT),Finalizada y depósitos con reserva devueltos,AGENCIA TRIBUTARIA,2025-10-28,2025-11-17,1,126986.45,170575.2,,2000.0,6349.32,25.55,20.0
SUB-AT-2025-25R5086001055,U.R. SUBASTAS ARAGON - ZARAGOZA (AEAT),Finalizada y depósitos con reserva devueltos,AGENCIA TRIBUTARIA,2025-10-28,2025-11-17,1,2000.0,5000.0,,200.0,100.0,60.0,20.0
SUB-AT-2025-25R0886001408,U.R. SUBASTAS CATALUÑA - BARCELONA (AEAT),Finalizada y depósitos con reserva devueltos,AGENCIA TRIBUTARIA,2025-10-28,2025-11-17,1,11780.47,14725.59,1178.05,500.0,589.02,20.0,20.0
SUB-AT-2025-25R5086001056,U.R. SUBASTAS ARAGON - ZARAGOZA (AEAT),Finalizada y depósitos con reserva devueltos,AGENCIA TRIBUTARIA,2025-10-28,2025-11-17,1,1271.09,3271.09,,100.0,63.55,61.14,20.0
SUB-AT-2025-25R0886001404,U.R. SUBASTAS CATALUÑA - BARCELONA (AEAT),Finalizada y depósitos con reserva devueltos,AGENCIA TRIBUTARIA,2025-10-28,2025-11-17,1,8124.47,10155.59,812.45,500.0,406.22,20.0,20.0
SUB-AT-2025-25R5086001019,U.R. SUBASTAS ARAGON - ZARAGOZA (AEAT),Finalizada y depósitos con reserva devueltos,AGENCIA TRIBUTARIA,2025-10-28,2025-11-17,1,6441.83,11530.83,,500.0,322.09,44.13,20.0
SUB-AT-2025-25R0886001402,U.R. SUBASTAS CATALUÑA - BARCELONA (AEAT),Finalizada y depósitos con reserva devueltos,AGENCIA TRIBUTARIA,2025-10-28,2025-11-17,1,6093.39,7616.74,609.34,500.0,304.66,20.0,20.0
SUB-AT-2025-25R4786001217,U.R. SUBASTAS CASTILLA Y LEON - VALLADOLID (AEAT),Finalizada y depósitos con reserva devueltos,AGENCIA TRIBUTARIA,2025-10-28,2025-11-17,1,4160.0,5200.0,416.0,200.0,208.0,20.0,20.0
SUB-AT-2025-25R0886001440,U.R. SUBASTAS CATALUÑA - BARCELONA (AEAT),Finalizada y depósitos con reserva devueltos,AGENCIA TRIBUTARIA,2025-10-28,2025-11-17,1,1812000.0,3020000.0,181200.0,5000.0,90600.0,40.0,20.0
